Government Transfers,,
"for the Fiscal Year Ended March 31, 2019",,
"(Details of payees receiving $25,000 or more)",,
,,
NAME,MINISTRY,AMOUNT
A CHILD'S P.L.A.C.E. CHILDCARE INC.,Children and Family Development,"147,979"
"A CHILD'S SONG CONSULTATION, EDUCATION AND THERAPEUTIC SERVICES",Children and Family Development,"76,673"
"A CHILD'S SONG CONSULTATION, EDUCATION AND THERAPEUTIC SERVICES",Public Safety and Solicitor General,"3,464"
A LOVING SPOONFUL MEALS SOCIETY,Attorney General,"95,000"
A SIMPLE CREMATION,Social Development and Poverty Reduction,"29,087"
A TO Z PLAYHOUSE INC.,Children and Family Development,"50,880"
A.L.L. – ASSOCIATION OF LEGAL AID LAWYERS,Attorney General,"250,000"
A.S.T.C. SCIENCE WORLD SOCIETY,Attorney General,"137,500"
A.W.A.R.E. – ASSISTING WITH AWARENESS REGARDING EMPLOYMENT SOCIETY,Social Development and Poverty Reduction,"72,364"
A–1 WHEELCHAIRS UNLIMITED SUPPLY INC.,Children and Family Development,105
A–1 WHEELCHAIRS UNLIMITED SUPPLY INC.,Public Safety and Solicitor General,"8,001"
A–1 WHEELCHAIRS UNLIMITED SUPPLY INC.,Social Development and Poverty Reduction,"625,432"
A2Z ENTERPRISE INC.,Children and Family Development,"481,866"
ABA ACADEMY INC.,Children and Family Development,"105,999"
ABA LEARNING CENTRE LTD.,Children and Family Development,"1,327,203"
"ABBASI MOOD, ZHOOBIN",Children and Family Development,"40,498"
ABBEY MEDICAL SUPPLIES LTD.,Children and Family Development,337
ABBEY MEDICAL SUPPLIES LTD.,Social Development and Poverty Reduction,"352,967"
ABBOTSFORD AGRIFAIR,Attorney General,"80,000"
ABBOTSFORD ALANO CLUB SOCIETY,Attorney General,"78,000"
ABBOTSFORD ANGELS HARDBALL ASSOCIATION,Attorney General,"44,000"
ABBOTSFORD ARTS COUNCIL,Attorney General,"33,500"
ABBOTSFORD ARTS COUNCIL,"Tourism, Arts and Culture","42,000"
ABBOTSFORD BMX SOCIETY,Attorney General,"29,500"
ABBOTSFORD CHRISTIAN SCHOOL SOCIETY,Children and Family Development,"9,983"
ABBOTSFORD CHRISTIAN SCHOOL SOCIETY,Education,"5,358,280"
ABBOTSFORD COMMUNITY SERVICES,Attorney General,"183,000"
ABBOTSFORD COMMUNITY SERVICES,Children and Family Development,"4,325,779"
ABBOTSFORD COMMUNITY SERVICES,"Jobs, Trade and Technology","354,892"
ABBOTSFORD COMMUNITY SERVICES,Public Safety and Solicitor General,"1,790,459"
ABBOTSFORD COMMUNITY SERVICES,Social Development and Poverty Reduction,"4,384,598"
ABBOTSFORD COMMUNITY SERVICES,"Tourism, Arts and Culture","10,200"
ABBOTSFORD CULTURAL CENTRE,"Tourism, Arts and Culture","36,200"
ABBOTSFORD FEMALE HOCKEY ASSOCIATION,Attorney General,"26,000"
ABBOTSFORD HOSPICE SOCIETY,"Advanced Education, Skills and Training","1,155"
ABBOTSFORD HOSPICE SOCIETY,Attorney General,"140,000"
ABBOTSFORD INTERNATIONAL AIR SHOW SOCIETY,Attorney General,"60,000"
ABBOTSFORD JUDO CLUB,Attorney General,"36,000"
ABBOTSFORD MATSQUI MINOR HOCKEY,Attorney General,"100,000"
ABBOTSFORD PEER SUPPORT FOR SENIORS,Attorney General,"31,000"
ABBOTSFORD PHYSIOTHERAPY,Children and Family Development,"40,160"
ABBOTSFORD POLICE DEPARTMENT,Public Safety and Solicitor General,"86,400"
ABBOTSFORD RESTORATIVE JUSTICE AND ADVOCACY ASSOCIATION,Attorney General,"76,500"
ABBOTSFORD RESTORATIVE JUSTICE AND ADVOCACY ASSOCIATION,Public Safety and Solicitor General,"5,000"
ABBOTSFORD SENIOR SECONDARY SCHOOL P A C,Attorney General,"26,112"
ABBOTSFORD SHRINE CLUB NO 40,Attorney General,"25,000"
ABBOTSFORD SKATING CLUB,Attorney General,"50,000"
ABBOTSFORD SOCCER ASSOCIATION,Attorney General,"100,000"
ABBOTSFORD TWISTERS GYMNASTICS CLUB,Attorney General,"106,000"
ABBOTSFORD YOUTH COMMISSION,Attorney General,"100,000"
"ABBOTT, ROBERT & ABBOTT, LAURI LULU",Children and Family Development,"52,571"
ABC ACADEMY – CHILDREN'S LEARNING CENTER LTD,Children and Family Development,"117,597"
ABC CHRISTIAN CHILD CARE CENTRE,Children and Family Development,"38,174"
ABC MEDICAL CLINIC,Health,"830,321"
ABC UNIVERSITY DAYCARE SOCIETY,Children and Family Development,"70,328"
"ABDAI, GAIL MARIE & ULRICH, BLAYNE DOUGLAS",Children and Family Development,"91,444"
"ABDOLLAHZADEH, AZIZEH",Children and Family Development,"81,891"
ABERDEEN HALL PREPARATORY SCHOOL SOCIETY,Children and Family Development,"61,153"
ABERDEEN HALL PREPARATORY SCHOOL SOCIETY,Education,"1,098,222"
ABERDEEN HALL SENIOR SCHOOL SOCIETY,Education,"963,589"
ABILITIES NEUROLOGICAL REHABILITATION – ABBOTSFORD,Children and Family Development,"1,093,517"
ABILITY HEALTHCARE GROUP INC.,Children and Family Development,"206,439"
ABILITY HEALTHCARE GROUP INC.,Public Safety and Solicitor General,280
ABILITY HEALTHCARE GROUP INC.,Social Development and Poverty Reduction,"591,207"
ABILITY IN MOTION HOME MEDICAL EQUIPMENT LTD.,Social Development and Poverty Reduction,"137,134"
ABLE CHILD ACADEMY EARLY LEARNING SOCIETY,Children and Family Development,"76,020"
ABLE DEVELOPMENTAL CLINIC INC.,Children and Family Development,"635,600"
ABORIGINAL COMMUNITY CAREER EMPLOYMENT SERVICES SOCIETY,"Advanced Education, Skills and Training","5,033,311"
ABORIGINAL HEAD START ASSOCIATION OF BRITISH COLUMBIA,Children and Family Development,"7,051,580"
ABORIGINAL MOTHER CENTRE SOCIETY,Children and Family Development,"24,014"
ABORIGINAL MOTHER CENTRE SOCIETY,Social Development and Poverty Reduction,"3,373"
ABORIGINAL TOURISM ASSOCIATION OF BRITISH COLUMBIA,"Advanced Education, Skills and Training","46,968"
ABORIGINAL TOURISM ASSOCIATION OF BRITISH COLUMBIA,"Jobs, Trade and Technology","30,000"
ABORIGINAL TOURISM ASSOCIATION OF BRITISH COLUMBIA,"Tourism, Arts and Culture","4,000"
"ABRAHAM, FLORA A",Children and Family Development,"39,593"
ABSORBENT MINDS MONTESSORI LTD.,Children and Family Development,"87,550"
ACADEMICS PREKINDERGARTEN KINGSWAY INC,Children and Family Development,"168,014"
ACADEMICS PREKINDERGARTEN WESTWOOD INC.,Children and Family Development,"543,267"
ACCENT INNS INC.,Children and Family Development,"19,176"
ACCENT INNS INC.,Public Safety and Solicitor General,"10,479"
ACCENT INNS INC.,Social Development and Poverty Reduction,"16,701"
ACCESS CARE PHYSIOTHERAPY,Children and Family Development,"32,714"
ACCESS COMMUNITY THERAPISTS LTD.,Children and Family Development,"47,518"
ACCESS COMMUNITY THERAPISTS LTD.,Public Safety and Solicitor General,"9,365"
ACCESS COPYRIGHT,Education,"4,333,345"
ACCESS HUMAN RESOURCES INC.,Children and Family Development,"175,603"
ACCESS PRO BONO SOCIETY OF BRITISH COLUMBIA,Attorney General,"140,000"
ACCESS TO MEDIA EDUCATION SOCIETY,Attorney General,"23,000"
ACCESS TO MEDIA EDUCATION SOCIETY,"Tourism, Arts and Culture","24,000"
ACCOMPLISHED LEARNING CENTRES LTD.,Children and Family Development,"58,425"
ACE PERSONNEL DOMESTIC SERVICES INC.,Children and Family Development,"118,055"
ACHIEVE ANYTHING FOUNDATION,"Jobs, Trade and Technology","250,000"
ACHIEVE SUPPORT AND DEVELOPMENT INC,Children and Family Development,"297,224"
ACHIEVEABILITY THERAPY SERVICES LTD.,Children and Family Development,"49,440"
ACHILLES INTERNATIONAL TRACK & FIELD SOCIETY,Attorney General,"30,000"
"ACKER, LORNA ELIZABETH",Children and Family Development,"58,751"
"ACKER, STEPHANIE",Children and Family Development,"29,646"
ACKROYD CHILDREN'S CENTRES LTD.,Children and Family Development,"68,102"
ACORN DAY CARE SOCIETY,Attorney General,"9,200"
ACORN DAY CARE SOCIETY,Children and Family Development,"93,642"
ACORN TO OAKS ACADEMY LTD.,Children and Family Development,"43,118"
"ACOSTA KOO, PRECY",Children and Family Development,"38,067"
"ACOSTA, VIRGILIA & ACOSTA, ELIMAR",Children and Family Development,"81,980"
ACT II CHILD AND FAMILY SERVICES SOCIETY,Children and Family Development,"1,472,837"
ACT II CHILD AND FAMILY SERVICES SOCIETY,Public Safety and Solicitor General,"5,600"
ACTION COMMITTEE OF PEOPLE WITH DISABILITIES SOCIETY,Attorney General,"143,000"
ACTION ORTHOTICS & PROSTHETICS,Children and Family Development,"3,711"
ACTION ORTHOTICS & PROSTHETICS,Social Development and Poverty Reduction,"24,301"
ACTIVE AGING SOCIETY,Health,"800,000"
ACTIVE CARE YOUTH AND ADULT SERVICES LTD.,Children and Family Development,"8,068,270"
ACTIVE SUPPORT AGAINST POVERTY SOCIETY,Attorney General,"33,800"
ADAMS LAKE INDIAN BAND,"Advanced Education, Skills and Training","11,366"
ADAMS LAKE INDIAN BAND,Attorney General,"645,233"
ADAMS LAKE INDIAN BAND,Children and Family Development,"124,137"
ADAMS LAKE INDIAN BAND,"Forests, Lands, Natural Resource Operations and Rural Development","8,500"
ADAMS LAKE INDIAN BAND,Indigenous Relations and Reconciliation,"831,930"
"ADAMS, DOUGLAS R, DR",Children and Family Development,"108,452"
"ADAMS, ERICA & ADAMS, BRIAN",Children and Family Development,"50,935"
"ADAMS, LORNA & ADAMS, THOMAS",Children and Family Development,"128,167"
"ADAMS, NADEEN & ADAMS, DOUGLAS",Children and Family Development,"59,240"
"ADAMS, NANCIE & ADAMS, DANIEL PETER",Children and Family Development,"83,693"
ADAMSON EDUCATIONAL SERVICES INC.,Children and Family Development,"161,457"
"ADHIKARI, AAKARSHIKA",Children and Family Development,"51,062"
"ADNAN, RAINA KHAN",Children and Family Development,"271,006"
ADOPTING HEALTHY ATTITUDES (AHA) YOUTH AND FAMILY SERVICES INC.,Children and Family Development,"1,566,293"
ADOPTIVE FAMILIES ASSOCIATION OF BRITISH COLUMBIA,Attorney General,"104,200"
ADOPTIVE FAMILIES ASSOCIATION OF BRITISH COLUMBIA,Children and Family Development,"1,099,311"
ADSZIO TECHNOLOGIES INC.,Agriculture,"115,000"
ADULT & TEEN CHALLENGE SOCIETY OF BC,Social Development and Poverty Reduction,"177,434"
ADULT INTEGRATED MENTAL HEALTH SERVICES SOCIETY,Attorney General,"30,000"
ADVANCED MOBILITY PRODUCTS LTD.,Children and Family Development,"191,179"
ADVANCED MOBILITY PRODUCTS LTD.,Public Safety and Solicitor General,"40,179"
ADVANCED MOBILITY PRODUCTS LTD.,Social Development and Poverty Reduction,"2,531,080"
ADVANTAGE SPEECH–LANGUAGE PATHOLOGY LTD.,Children and Family Development,"126,179"
ADVANTAGE SPEECH–LANGUAGE PATHOLOGY LTD.,Public Safety and Solicitor General,"7,704"
AERIOSA DANCE SOCIETY,Attorney General,"16,500"
AERIOSA DANCE SOCIETY,"Tourism, Arts and Culture","42,500"
AEROSPACE INDUSTRIES ASSOCIATION OF CANADA,"Advanced Education, Skills and Training","179,825"
AEROSPACE INDUSTRIES ASSOCIATION OF CANADA,"Jobs, Trade and Technology","300,000"
AES ENGINEERING LTD.,"Advanced Education, Skills and Training","46,377"
"AFFLECK, CYNTHIA & AFFLECK, MATTHEW",Children and Family Development,"41,804"
AFFORDABLE CREMATION & BURIAL LTD.,Social Development and Poverty Reduction,"37,325"
AFRICAN DESCENT SOCIETY BRITISH COLUMBIA,Attorney General,"25,000"
AFRICAN DESCENT SOCIETY BRITISH COLUMBIA,"Tourism, Arts and Culture","30,000"
AGASSIZ CHRISTIAN SCHOOL SOCIETY,Children and Family Development,"2,576"
AGASSIZ CHRISTIAN SCHOOL SOCIETY,Education,"562,216"
AGASSIZ HARRISON AQUANAUTS SWIM CLUB,Attorney General,"29,700"
AGASSIZ–HARRISON COMMUNITY SERVICES SOCIETY,Attorney General,"28,500"
AGASSIZ–HARRISON COMMUNITY SERVICES SOCIETY,Children and Family Development,"466,556"
"AGLUBAT, MYLA & AGLUBAT, LEONARDO",Children and Family Development,"35,547"
"AGLUGUB, NORBERTA & AGLUGUB, EDMUNDO",Children and Family Development,"60,839"
AGRICULTURE AND AGRI–FOOD CANADA,"Forests, Lands, Natural Resource Operations and Rural Development","1,450,000"
AGRICULTURE FINANCIAL SERVICES CORPORATION,Agriculture,"86,726"
"AGUILAR, LINA ODILIA & AGUILAR, MARCELINO ENRIQUE",Children and Family Development,"121,986"
"AGUILAR, WALTER & AGUILAR, RAYANNE",Children and Family Development,"66,448"
"AGUIRRE, MARY & PRUDEN, SHAYNE",Children and Family Development,"43,810"
AGUR LAKE CAMP SOCIETY,Attorney General,"39,500"
"AHMAD, NAUMAN, DR",Children and Family Development,"95,406"
"AHMED, ASMA",Children and Family Development,"31,349"
AHOUSAHT FIRST NATION,Children and Family Development,"107,232"
AHOUSAHT FIRST NATION,Indigenous Relations and Reconciliation,"10,000"
AHOUSAT HOLISTIC RECOVERY CENTRE SOCIETY,Public Safety and Solicitor General,"93,005"
AIMHI – PRINCE GEORGE ASSOCIATION FOR COMMUNITY LIVING,Attorney General,"29,000"
AIMHI – PRINCE GEORGE ASSOCIATION FOR COMMUNITY LIVING,Children and Family Development,"2,702,392"
AIMHI – PRINCE GEORGE ASSOCIATION FOR COMMUNITY LIVING,Social Development and Poverty Reduction,"2,557"
AIRD'S KIDZONE LEARNING CENTRE LTD.,Children and Family Development,"336,127"
AKALI SINGH SIKH SOCIETY,Attorney General,"88,000"
AKISQNUK FIRST NATION,Children and Family Development,"30,000"
AKISQNUK FIRST NATION,"Forests, Lands, Natural Resource Operations and Rural Development","8,500"
ALAJ HOLDINGS LTD.,Social Development and Poverty Reduction,"64,307"
ALANO CLUB OF COURTENAY,Attorney General,"55,000"
ALANO CLUB OF POWELL RIVER,Attorney General,"25,000"
ALANO CLUB OF THE NORTH SHORE,Attorney General,"32,000"
ALANO CLUB OF VANCOUVER,Attorney General,"25,000"
ALBERNI COMMUNITY AND WOMEN'S SERVICES SOCIETY,Attorney General,"58,000"
ALBERNI COMMUNITY AND WOMEN'S SERVICES SOCIETY,Children and Family Development,"90,349"
ALBERNI COMMUNITY AND WOMEN'S SERVICES SOCIETY,Public Safety and Solicitor General,"332,800"
ALBERNI DISTRICT FALL FAIR,Attorney General,"25,000"
ALBERNI DISTRICT SECONDARY SCHOOL P A C,Attorney General,"27,120"
ALBERNI VALLEY CHILDCARE SOCIETY,Attorney General,"59,900"
ALBERNI VALLEY CHILDCARE SOCIETY,Children and Family Development,"744,838"
ALBERNI VALLEY FETAL ALCOHOL SPECTRUM DISORDER COMMUNITY ACTION GROUP,Children and Family Development,"58,446"
ALBERNI VALLEY HOSPICE SOCIETY,Attorney General,"60,000"
ALBERNI VALLEY MINOR HOCKEY ASSOCIATION,Attorney General,"50,000"
ALBERNI VALLEY MUSEUM,"Tourism, Arts and Culture","76,700"
ALBERNI VALLEY RESCUE SQUAD,Attorney General,"40,000"
"ALBERT, NAOMI & ALBERT, TIMOTHY",Children and Family Development,"57,784"
ALBERTA HEALTH CARE INSURANCE PLAN,Health,"22,800,179"
ALBERTA HEALTH SERVICES,Children and Family Development,"1,220"
ALBERTA HEALTH SERVICES,Health,"2,104,477"
ALBERTA HEALTH SERVICES – CANCER CARE,Health,"149,561"
ALBERTA HOSPITAL EDMONTON SITE,Health,"44,472"
ALDERGROVE MINOR HOCKEY ASSOCIATION,Attorney General,"61,600"
ALDERGROVE SOCCER SOCIETY,Attorney General,"25,000"
"ALDERMAN, ELIZABETH Y & ALDERMAN, GORDON D",Children and Family Development,"47,350"
ALDERWOOD HOUSE SCHOOL INC.,Children and Family Development,"840,415"
ALEGRIA CHILDCARE LTD.,Children and Family Development,"167,954"
"ALEMAN, BARBARA J",Children and Family Development,"221,723"
ALERT BAY PUBLIC LIBRARY,Education,"28,118"
"ALEXANDER, CHERYL & ALEXANDER, MARLON",Children and Family Development,"25,580"
ALEXIS CREEK FIRST NATION,Children and Family Development,"30,000"
"ALGABRE, RITA & ALGABRE, EUGENIO",Children and Family Development,"58,684"
"ALI, BETTE JO",Children and Family Development,"36,322"
"ALIAKBARZADEH, AZRA A MINA",Children and Family Development,"119,724"
ALICE RICHARD – COUNSELLING SERVICES LTD.,Children and Family Development,"105,659"
ALJANE FARMS LTD.,Agriculture,"92,300"
ALL ABOARD CHILDCARE LTD,Children and Family Development,"243,047"
ALL CHILDREN'S HOME INC.,Children and Family Development,"164,109"
ALL NATIONS DRIVING ACADEMY LTD.,"Advanced Education, Skills and Training","60,000"
ALL NATIONS TRUST COMPANY,Indigenous Relations and Reconciliation,"975,200"
ALL WOMENS HEALTH NORTH,Health,"124,682"
"ALLAIN, CHRISTINE ELLEN",Children and Family Development,"25,088"
"ALLAIN, EDWARD PAUL",Children and Family Development,"188,099"
"ALLAIRE, RENE & ALLAIRE, JAN",Children and Family Development,"25,263"
"ALLARD, SYLVIANE",Children and Family Development,"37,694"
"ALLEN, MICHELLE MARGARET & ALLEN, JASON ROBERT",Children and Family Development,"101,984"
"ALLEN–REID, TIMLIN & ALLEN–REID, PETER",Children and Family Development,"29,436"
ALLEY THEATRE ASSOCIATION,Attorney General,"8,000"
ALLEY THEATRE ASSOCIATION,"Tourism, Arts and Culture","25,000"
ALLINGER BEHAVIOUR ANALYSTS LTD.,Children and Family Development,"170,914"
"ALLISON, JENNIFER",Children and Family Development,"61,182"
ALMOSTHOME CHILDCARE/PRESCHOOL LTD.,"Advanced Education, Skills and Training","2,980"
ALMOSTHOME CHILDCARE/PRESCHOOL LTD.,Children and Family Development,"561,416"
"ALOUETTE CORRECTIONAL CENTRE FOR WOMEN, INMATE TRUST",Public Safety and Solicitor General,"57,761"
ALOUETTE RIVER MANAGEMENT SOCIETY,Attorney General,"52,000"
ALPHA AUTISM SERVICES INC.,Children and Family Development,"460,840"
ALPHA SECONDARY SCHOOL P A C,Attorney General,"25,632"
ALPHABET ZOO EARLY LEARNING CENTRE LTD,"Advanced Education, Skills and Training","1,664"
ALPHABET ZOO EARLY LEARNING CENTRE LTD,Children and Family Development,"150,696"
ALTAGAS LTD.,"Advanced Education, Skills and Training","140,000"
ALTAMONT CHILD DEVELOPMENT CENTRE INC.,Children and Family Development,"161,149"
ALTERNATE SHELTER SOCIETY,Children and Family Development,"592,387"
ALTERNATIVES FUNERAL & CREMATION SERVICES,Social Development and Poverty Reduction,"282,650"
ALTRUSA CLUB OF CAMPBELL RIVER,Attorney General,"25,000"
"ALVAREZ, JOSEPHINE & ALVAREZ, DENNIS",Children and Family Development,"59,811"
"ALVAREZ, MARIA AMANDA",Children and Family Development,"40,336"
"ALVAREZ, ROBERTO & ALVAREZ, ALMA",Children and Family Development,"83,463"
ALWAYS HOME CHILDCARE SERVICES INC.,Children and Family Development,"31,035"
"ALYWARD, TINA",Children and Family Development,"186,357"
ALZHEIMER SOCIETY OF B.C.,Attorney General,"347,359"
ALZHEIMER SOCIETY OF B.C.,Health,"2,700,000"
AMATA TRANSITION HOUSE SOCIETY,Children and Family Development,203
AMATA TRANSITION HOUSE SOCIETY,Public Safety and Solicitor General,"79,639"
"AMBROSONE, REBEKKAH & AMBROSONE, BENJAMIN",Children and Family Development,"62,148"
"AMES, MICHAEL GORDON ERNEST & FEARN, HELEN",Children and Family Development,"60,740"
AMHERST FUNERAL AND CREMATION SERVICES INC.,Social Development and Poverty Reduction,"162,861"
AMIE JORDAN CONSULTING INC.,Children and Family Development,"29,689"
"AMOG, MAY VIC & AMOG, ROMEO",Children and Family Development,"199,068"
AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF BRITISH COLUMBIA,"Advanced Education, Skills and Training","1,048"
AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF BRITISH COLUMBIA,Attorney General,"195,500"
ANCHOR ACADEMY SOCIETY,Education,"4,600,117"
"ANDERSEN, MICHELLE & ANDERSEN, DAVID",Children and Family Development,"33,040"
ANDERSON AIR LTD.,"Advanced Education, Skills and Training","117,669"
ANDERSON BEHAVIOR CONSULTING INC.,Children and Family Development,"252,993"
"ANDERSON, CHERYL–ANN",Children and Family Development,"41,539"
"ANDERSON, COLBY AFTON",Children and Family Development,"44,175"
"ANDERSON, NAOMI ANNE",Children and Family Development,"40,175"
"ANDERSON, RITA & ANDERSON, GORDON",Children and Family Development,"60,250"
"ANDERSON, SAMANTHA TAYLOR",Children and Family Development,"31,174"
"ANDERSON, SHERRI",Children and Family Development,"65,319"
"ANDREONE, BIANCA E",Children and Family Development,"71,726"
"ANDREW, ELIZABETH & JIM, HARRY",Children and Family Development,"42,296"
"ANDREWS, ERIN & ANDREWS, BLAKE",Children and Family Development,"59,009"
"ANDREWS, KATHERINE ANN & ANDREWS, MICHAEL SHANE",Children and Family Development,"103,091"
ANGEL WING CONNECTIONS LTD.,Social Development and Poverty Reduction,"52,518"
"ANGEL, LOESJE",Children and Family Development,"50,274"
"ANGEL, MARJA & BAILEY, JOHN",Children and Family Development,"89,262"
ANGELS PLAYHOUSE EDUCATION INC.,Children and Family Development,"115,534"
"ANGUS, TAMMY LEE",Children and Family Development,"28,777"
ANIKA YOUTH SERVICES INC.,Children and Family Development,"3,187,620"
ANKLEBYTERS CHILD CARE LTD.,Children and Family Development,"31,284"
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,Health,"927,099"
ANN DAVIS TRANSITION SOCIETY,Attorney General,"72,000"
ANN DAVIS TRANSITION SOCIETY,Children and Family Development,"66,278"
ANN DAVIS TRANSITION SOCIETY,Public Safety and Solicitor General,"335,217"
